ts_code,symbol,name,list_date,delist_date
C0607.DCE,C0607,ÓñÃ×0607,20050715,20060714
M0911.DCE,M0911,¶¹ÆÉ0911,20081117,20091113
I1612.DCE,I1612,Ìú¿óÊ¯1612,20151215,20161214
J1612.DCE,J1612,½¹Ì¿1612,20151215,20161214
JD1612.DCE,JD1612,¼¦µ°1612,20151215,20161214
JM1612.DCE,JM1612,½¹Ãº1612,20151215,20161214
M1612.DCE,M1612,¶¹ÆÉ1612,20151215,20161214
PP1612.DCE,PP1612,¾Û±ûÏ©1612,20151215,20161214
Y1612.DCE,Y1612,¶¹ÓÍ1612,20151215,20161214
M0308.DCE,M0308,¶¹ÆÉ0308,20030102,20030814
Y1701.DCE,Y1701,¶¹ÓÍ1701,20160118,20170116
B1701.DCE,B1701,¶¹¶þ1701,20160118,20170116
C1701.DCE,C1701,ÓñÃ×1701,20160118,20170116
V1701.DCE,V1701,PVC1701,20160118,20170116
J1701.DCE,J1701,½¹Ì¿1701,20160118,20170116
P1701.DCE,P1701,×ØéµÓÍ1701,20160118,20170116
JM1701.DCE,JM1701,½¹Ãº1701,20160118,20170116
PP1701.DCE,PP1701,¾Û±ûÏ©1701,20160118,20170116
FB1702.DCE,FB1702,ÏËÎ¬°å1702,20160222,20170216
JM1702.DCE,JM1702,½¹Ãº1702,20160222,20170216
J1703.DCE,J1703,½¹Ì¿1703,20160315,20170314
L1703.DCE,L1703,ËÜÁÏ1703,20160315,20170314
I1703.DCE,I1703,Ìú¿óÊ¯1703,20160315,20170314
M1703.DCE,M1703,¶¹ÆÉ1703,20160315,20170314
PP1703.DCE,PP1703,¾Û±ûÏ©1703,20160315,20170314
L1704.DCE,L1704,ËÜÁÏ1704,20160418,20170418
V1704.DCE,V1704,PVC1704,20160418,20170418
J1704.DCE,J1704,½¹Ì¿1704,20160418,20170418
P1704.DCE,P1704,×ØéµÓÍ1704,20160418,20170418
JM1704.DCE,JM1704,½¹Ãº1704,20160418,20170418
JD1704.DCE,JD1704,¼¦µ°1704,20160418,20170425
FB1704.DCE,FB1704,ÏËÎ¬°å1704,20160418,20170418
J1202.DCE,J1202,½¹Ì¿1202,20110415,20120214
M0205.DCE,M0205,¶¹ÆÉ0205,20010522,20020521
J1705.DCE,J1705,½¹Ì¿1705,20160517,20170515
PP1705.DCE,PP1705,¾Û±ûÏ©1705,20160517,20170515
CS1705.DCE,CS1705,ÓñÃ×µí·Û1705,20160517,20170515
I1705.DCE,I1705,Ìú¿óÊ¯1705,20160517,20170515
L1705.DCE,L1705,ËÜÁÏ1705,20160517,20170515
M0901.DCE,M0901,¶¹ÆÉ0901,20080116,20090116
M0712.DCE,M0712,¶¹ÆÉ0712,20061215,20071214
FB1706.DCE,FB1706,ÏËÎ¬°å1706,20160617,20170614
J1706.DCE,J1706,½¹Ì¿1706,20160617,20170614
JD1706.DCE,JD1706,¼¦µ°1706,20160617,20170627
