商品代码,商品名称,主力合约,结算价,涨跌,成交量,持仓量,单位,青松讲盘,黑金期货,微语解期,灰天鹅,未来航情,抓牛在手,云数据,逍遥论期,青石看盘,李昉,综合,标准差,分析
SF.ZCE,硅铁,2005,5844,-2,34696,87494,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
SR.ZCE,白糖,2005,5582,20,406674,559462,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
MA.ZCE,甲醇MA,2005,2203,-12,2145844,1557002,元/吨,0,0,0,0,0,-1,1,0,0,0,0,0.45,
FG.ZCE,玻璃,2005,1482,-3,173454,343528,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
RS.DCE,油菜籽,2007,4435,0,0,14,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
CF.ZCE,棉花,2005,13985,95,831740,1166786,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
CY.ZCE,棉纱,2005,22125,65,16232,15838,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
PM.ZCE,普麦,2007,2230,0,0,6,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
WH.ZCE,强麦WH,2001,2359,0,32,172,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
UR.ZCE,尿素,2005,1722,10,41876,105468,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
ZC.ZCE,动力煤ZC,2005,557.4,1.2,138124,283282,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
SM.ZCE,锰硅,2005,6402,-6,62348,147898,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
EG.DCE,乙二醇,2005,4603,-12,472114,381044,元/吨,-1,0,0,0,0,0,1,0,0,0,0,0.45,
I.DCE,铁矿石,2005,646.5,1.5,1102180,1198848,元/干吨,0,0,0,0,0,-1,0,0,1,0,0,0.45,
M.DCE,豆粕,2005,2773,18,2045228,3385712,元/吨,-1,0,0,0,0,0,0,1,0,0,0,0.45,
Y.DCE,豆油,2005,6808,48,1248576,1334992,元/吨,0,0,0,0,0,0,1,0,0,0,0.1,0.3,
B.DCE,豆二,2002,3315,25,315556,70554,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
A.DCE,豆一,2005,3863,28,147030,156446,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
EB.DCE,苯乙烯,2005,7304,-99,210796,161604,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
BB.DCE,胶合板,2001,158,0,0,0,元/张,0,0,0,0,0,0,0,0,0,0,0,0,
V.DCE,聚氯乙烯,2005,6520,20,170576,465248,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
L.DCE,聚乙烯,2005,7345,-65,533090,732288,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
